Date Time, Water Level, Sigma, O, F, R, L, Quality ,,,,
1/2/2013 6:00,0.843,0.005,0,0,0,0,v,,,,
1/2/2013 6:06,0.815,0.004,0,0,0,0,v,,,,
1/2/2013 6:12,0.791,0.004,0,0,0,0,v,,,,
1/2/2013 6:18,0.76,0.006,0,0,0,0,v,,,,
1/2/2013 6:24,0.712,0.006,0,0,0,0,v,,,,
1/2/2013 6:30,0.663,0.006,0,0,0,0,v,,,,
1/2/2013 6:36,0.622,0.005,0,0,0,0,v,,,,
1/2/2013 6:42,0.584,0.005,0,0,0,0,v,,,,
1/2/2013 6:48,0.543,0.007,0,0,0,0,v,,,,
1/2/2013 6:54,0.499,0.006,0,0,0,0,v,,,,
1/2/2013 7:00,0.457,0.006,0,0,0,0,v,,,,
1/2/2013 7:06,0.416,0.005,0,0,0,0,v,,,,
1/2/2013 7:12,0.373,0.006,0,0,0,0,v,,,,
1/2/2013 7:18,0.331,0.006,0,0,0,0,v,,,,
1/2/2013 7:24,0.291,0.006,0,0,0,0,v,,,,
1/2/2013 7:30,0.254,0.005,0,0,0,0,v,,,,
1/2/2013 7:36,0.22,0.005,0,0,0,0,v,,,,
1/2/2013 7:42,0.188,0.005,0,0,0,0,v,,,,
1/2/2013 7:48,0.155,0.005,0,0,0,0,v,,,,
1/2/2013 7:54,0.121,0.005,0,0,0,0,v,,,,
1/2/2013 8:00,0.093,0.003,0,0,0,0,v,,,,
1/2/2013 8:06,0.074,0.002,0,0,0,0,v,,,,
1/2/2013 8:12,0.058,0.003,0,0,0,0,v,,,,
1/2/2013 8:18,0.036,0.003,0,0,0,0,v,,,,
1/2/2013 8:24,0.013,0.003,0,0,0,0,v,,,,
1/2/2013 8:30,-0.011,0.004,0,0,0,0,v,,,,
1/2/2013 8:36,-0.036,0.003,0,0,0,0,v,,,,
1/2/2013 8:42,-0.059,0.003,0,0,0,0,v,,,,
1/2/2013 8:48,-0.077,0.002,0,0,0,0,v,,,,
1/2/2013 8:54,-0.086,0.001,0,0,0,0,v,,,,
1/2/2013 9:00,-0.09,0.001,0,0,0,0,v,,,,
1/2/2013 9:06,-0.097,0.001,0,0,0,0,v,,,,
1/2/2013 9:12,-0.109,0.002,0,0,0,0,v,,,,
1/2/2013 9:18,-0.117,0,0,0,0,0,v,,,,
1/2/2013 9:24,-0.11,0.002,0,0,0,0,v,,,,
1/2/2013 9:30,-0.091,0.003,0,0,0,0,v,,,,
1/2/2013 9:36,-0.069,0.003,0,0,0,0,v,,,,
1/2/2013 9:42,-0.042,0.005,0,0,0,0,v,,,,
1/2/2013 9:48,-0.004,0.005,0,0,0,0,v,,,,
1/2/2013 9:54,0.028,0.004,0,0,0,0,v,,,,
1/2/2013 10:00,0.047,0.002,0,0,0,0,v,,,,
1/2/2013 10:06,0.064,0.003,0,0,0,0,v,,,,
1/2/2013 10:12,0.093,0.005,0,0,0,0,v,,,,
